type,deck,front,back,text,tags
basic,ODS Knowledge,Recite the Mission of the Navy.,"To recruit, train, equip, and organize to deliver combat ready Naval forces to win conflicts and wars while maintaining security and deterrence through sustained forward presence.",,mission
basic,ODS Knowledge,Define Discipline (spell it out).,"Discipline, D-I-S-C-I-P-L-I-N-E, Discipline is the instant, willing obedience to orders, respect for authority and self-reliance.",,discipline
basic,ODS Knowledge,Navy Core Value — define Honor.,I am accountable for my professional and personal behavior. I will be mindful of the privilege I have to serve my fellow Americans.,,core-values
basic,ODS Knowledge,Navy Core Value — define Courage.,"Courage is the value that gives me the moral and mental strength to do what is right, with confidence and resolution, even in the face of temptation or adversity.",,core-values
basic,ODS Knowledge,Navy Core Value — define Commitment.,"The day-to-day duty of every man and woman in the Department of the Navy is to join together as a team to improve the quality of our work, our people and ourselves.",,core-values
basic,ODS Knowledge,CNO Core Attribute — define Integrity.,"Our behaviors as individuals and as an organization align with our values as a profession. We actively strengthen each other's resolve to act consistently with our values. As individuals, as teams, and as a Navy, our conduct must always be upright and honorable both in public and when nobody's looking.",,cno-attributes
basic,ODS Knowledge,CNO Core Attribute — define Accountability.,"We are a mission-focused force. We achieve and maintain high standards. Our actions support our strategy. We clearly define the problem we're trying to solve and proposed outcomes. In execution, we honestly assess our progress and adjust as required—we are our own toughest critic.",,cno-attributes
basic,ODS Knowledge,CNO Core Attribute — define Initiative.,"On their own, everybody strives to be the best they can be – we give 100% when on the job. Our leaders take ownership and act to the limit of their authorities. We foster a questioning attitude and look at new ideas with an open mind. Our most junior teammate may have the best idea; we must be open to capturing that idea.",,cno-attributes
basic,ODS Knowledge,CNO Core Attribute — define Toughness.,"We can take a hit and keep going, tapping all sources of strength and resilience: rigorous training for operations and combat, the fighting spirit of our people, and the steadfast support of our families. We don't give up the ship!",,cno-attributes
basic,ODS Knowledge,"How many Articles are in the Code of Conduct, and what is the reference?",6 Articles; Reference: Executive Order 10631,,code-of-conduct
basic,ODS Knowledge,Recite Code of Conduct — Article 1.,"I am an American, fighting in the forces which guard my country and our way of life. I am prepared to give my life in their defense.",,code-of-conduct
basic,ODS Knowledge,Recite Code of Conduct — Article 2.,"I will never surrender of my own free will. If in command, I will never surrender the members of my command while they still have the means to resist.",,code-of-conduct
basic,ODS Knowledge,Recite Code of Conduct — Article 3.,If I am captured I will continue to resist by all means available. I will make every effort to escape and aid others to escape. I will accept neither parole nor special favors from the enemy.,,code-of-conduct
basic,ODS Knowledge,Recite Code of Conduct — Article 4.,"If I become a prisoner of war, I will keep faith with my fellow prisoners. I will give no information or take part in any action which might be harmful to my comrades. If I am senior, I will take command. If not, I will obey the lawful orders of those appointed over me and will back them up in every way.",,code-of-conduct
basic,ODS Knowledge,Recite Code of Conduct — Article 5.,"When questioned, should I become a prisoner of war, I am required to give name, rank, service number and date of birth. I will evade answering further questions to the utmost of my ability. I will make no oral or written statements disloyal to my country and its allies or harmful to their cause.",,code-of-conduct
basic,ODS Knowledge,Recite Code of Conduct — Article 6.,"I will never forget that I am an American, fighting for freedom, responsible for my actions, and dedicated to the principles which made my country free. I will trust in my God and in the United States of America.",,code-of-conduct
basic,ODS Knowledge,When is the birthday of the U.S. Navy?,13 October 1775,,navy-facts
basic,ODS Knowledge,Leadership Trait — define Judgement.,The ability to weigh facts and possible solutions on which to base sound decisions.,,leadership-traits
basic,ODS Knowledge,Leadership Trait — define Justice.,Giving reward and punishment according to merits of the case in question; the ability to administer a system of rewards and punishments impartially and consistently.,,leadership-traits
basic,ODS Knowledge,Leadership Trait — define Decisiveness.,"Ability to make decisions promptly and to announce them in clear, forceful manner.",,leadership-traits
basic,ODS Knowledge,Leadership Trait — define Initiative.,Taking action in the absence of orders.,,leadership-traits
basic,ODS Knowledge,Leadership Trait — define Dependability.,The certainty of proper performance of duty.,,leadership-traits
basic,ODS Knowledge,Leadership Trait — define Tact.,The ability to deal with others without creating offense.,,leadership-traits
basic,ODS Knowledge,Leadership Trait — define Integrity.,Uprightness of character and soundness of moral principles; includes the qualities of truthfulness and honesty.,,leadership-traits
basic,ODS Knowledge,Leadership Trait — define Endurance.,"The mental and physical stamina measured by the ability to withstand pain, fatigue, stress and hardship.",,leadership-traits
basic,ODS Knowledge,Leadership Trait — define Bearing.,"Creating a favorable impression in carriage, appearance and personal conduct at all times.",,leadership-traits
basic,ODS Knowledge,Leadership Trait — define Unselfishness.,Avoidance of providing for one's own comfort and personal advancement at the expense of others.,,leadership-traits
basic,ODS Knowledge,Leadership Trait — define Courage.,"The mental quality that recognizes fear of danger or criticism, but enables a person to proceed in the face of it with calmness and firmness.",,leadership-traits
basic,ODS Knowledge,Leadership Trait — define Knowledge.,"Understanding of a science or an art. The range of one's information, including professional knowledge and an understanding of your Sailors.",,leadership-traits
basic,ODS Knowledge,Leadership Trait — define Loyalty.,"The quality of faithfulness to country, the Navy, the unit, to one's seniors, subordinates and peers.",,leadership-traits
basic,ODS Knowledge,Leadership Trait — define Enthusiasm.,The display of sincere interest and exuberance in the performance of duty.,,leadership-traits
basic,ODS Knowledge,Chain of Command — position #1 (title)?,Class Recruit Division Commander(s) (RDC),,chain-of-command
basic,ODS Knowledge,Chain of Command — position #2 (title)?,Class Officer(s),,chain-of-command
basic,ODS Knowledge,Chain of Command — position #3 (title)?,"Leading Chief Petty Officer, ODS",,chain-of-command
basic,ODS Knowledge,Chain of Command — position #4 (title)?,"Deputy Director, ODS",,chain-of-command
