type,deck,front,back,text,image,tags
basic,ODS Galley Procedures,Galley procedures motto (three words required at all times)?,"Speed, volume, and intensity",,,galley-overview
basic,ODS Galley Procedures,Galley motto — which is NOT part of it?,"Silence, patience, and caution",,,galley-overview
basic,ODS Galley Procedures,Who may modify basic galley procedures?,The Class Team,,,galley-overview
basic,ODS Galley Procedures,Why may the Class Team modify galley procedures?,Schedule or training requirements,,,galley-overview
basic,ODS Galley Procedures,"Before entering, the company halts at which building?",Ney Hall,,,galley-approach
basic,ODS Galley Procedures,"What is ""The Chute""?",The blue awning at the front of Ney Hall,,,galley-approach
basic,ODS Galley Procedures,Where exactly does the company halt at Ney Hall?,The step leading to the double door entrance,,,galley-approach
basic,ODS Galley Procedures,Chow time for each class/company is found where?,Plan of the day (POD),,,galley-approach
basic,ODS Galley Procedures,Where does the Drill Officer march the company before entering the galley?,"Front of Ney Hall under the blue awning (""The Chute""), halted at the step to the double doors",,,galley-approach
basic,ODS Galley Procedures,Where does the Drill Officer post before commencing galley procedures?,"Port side of the formation, abreast of the first rank, then right face to the company",,,galley-drill-officer
basic,ODS Galley Procedures,"Drill Officer: ""Guide, post the guidon."" — Guide's response?","Aye-aye, Sir/Ma'am",,,galley-drill-officer
basic,ODS Galley Procedures,"After posting the guidon, where does the Guide fall in?",Rear of the company formation,,,galley-drill-officer
basic,ODS Galley Procedures,"Drill Officer: ""Mess Treasurer, fall out."" — Mess Treasurer's response?","Aye-aye, Sir/Ma'am",,,galley-drill-officer
basic,ODS Galley Procedures,"When the Mess Treasurer falls out, what two things do they do?",Report company arrival to the mess attendant and request seating,,,galley-mess-treasurer
basic,ODS Galley Procedures,Glow belts during entering: stow in which pocket?,Starboard pocket,,,galley-drill-officer
basic,ODS Galley Procedures,"""Prepare to crush starboard"" — when do students say ""Pain""?",When both heels come together after the starboard side-step,,,galley-drill-officer
cloze,ODS Galley Procedures,,,"Drill Officer: ""Ready"" → company: ""{{c1::Discipline}}""; Drill Officer: ""Move"" → company: ""{{c2::Pain}}"" (crush starboard).",,galley-drill-officer
basic,ODS Galley Procedures,"Drill Officer: ""Mess Treasurer, Report."" — what does the Mess Treasurer report about lines?","The company will utilize all lines (1, 2, 3, 4)",,,galley-mess-treasurer
basic,ODS Galley Procedures,Mess Treasurer report: seating location is directed by whom?,Galley Attendant (goat locker / active scullery / inactive scullery / shark tank),,,galley-mess-treasurer
basic,ODS Galley Procedures,"Drill Officer: ""First four to the door"" — what do the first four do?",Open the inner and outer doors to the galley,,,galley-entry
basic,ODS Galley Procedures,"Drill Officer: ""Column of files from the left, last Sailor sound off last Sailor."" — column leader's response?",Forward,,,galley-entry
basic,ODS Galley Procedures,Other squad leaders during column of files from the left?,Stand Fast (heads snapped left),,,galley-entry
cloze,ODS Galley Procedures,,,"Last Sailor in the column sounds off: ""{{c1::Last Sailor}}""",,galley-entry
basic,ODS Galley Procedures,"When entering the galley, where are hand sanitizer dispensers?",On the right inside the doors,,,galley-entry
basic,ODS Galley Procedures,When are covers removed during entry?,"While filing out, before sanitizing hands",,,galley-entry
basic,ODS Galley Procedures,In the chow line: talking or looking around?,No talking and no looking around,,,galley-lines
basic,ODS Galley Procedures,Tray position while moving through chow lines?,"Elbows tucked, arms parallel to the deck",,,galley-lines
basic,ODS Galley Procedures,Student forgot knowledge book/sheet at chow — what do they study with?,A table condiment held straight out in the right hand,,,galley-lines
basic,ODS Galley Procedures,Outer garments (coats/jackets) at the table — when removed?,Before arranging trays; placed on the back of the chair,,,galley-lines
